State,District,Year,NDVI,Image_Count
Karnataka,Shivamogga,2015,0.5011039581063309,27
Karnataka,Shivamogga,2016,0.39220622958918566,187
Karnataka,Shivamogga,2017,0.4280251829293382,84
Karnataka,Shivamogga,2018,0.3945778784663701,209
Karnataka,Shivamogga,2019,0.3917625359046742,224
Karnataka,Shivamogga,2020,0.4236594448844829,218
Karnataka,Shivamogga,2021,0.4326091281552182,229
Karnataka,Shivamogga,2022,0.4398749372340731,223
Karnataka,Shivamogga,2023,0.4456296059385622,225
Karnataka,Shivamogga,2024,0.4210576745608059,227
Karnataka,Uttara Kannada,2015,0.5476245937625948,45
Karnataka,Uttara Kannada,2016,0.48477671975805464,361
Karnataka,Uttara Kannada,2017,0.4968214518594582,210
Karnataka,Uttara Kannada,2018,0.46040937130634874,491
Karnataka,Uttara Kannada,2019,0.46138958115241,512
Karnataka,Uttara Kannada,2020,0.49692474668435505,511
Karnataka,Uttara Kannada,2021,0.4864381593623923,526
Karnataka,Uttara Kannada,2022,0.49461932778648826,511
Karnataka,Uttara Kannada,2023,0.48443069010266143,526
Karnataka,Uttara Kannada,2024,0.46955246543533696,530
Karnataka,Chikkamagaluru,2015,0.5710952478089467,36
Karnataka,Chikkamagaluru,2016,0.4399310212850858,247
Karnataka,Chikkamagaluru,2017,0.46424249585968363,112
Karnataka,Chikkamagaluru,2018,0.4418214617226954,278
Karnataka,Chikkamagaluru,2019,0.432109177915781,293
Karnataka,Chikkamagaluru,2020,0.47146432534726745,290
Karnataka,Chikkamagaluru,2021,0.47597683995163975,292
Karnataka,Chikkamagaluru,2022,0.4781795442385818,294
Karnataka,Chikkamagaluru,2023,0.4739966484256022,297
Karnataka,Chikkamagaluru,2024,0.4483606733775458,302
Karnataka,Kodagu,2015,0.6255356456244917,36
Karnataka,Kodagu,2016,0.5228219866214697,247
Karnataka,Kodagu,2017,0.5592687125937575,160
Karnataka,Kodagu,2018,0.5283989828710366,278
Karnataka,Kodagu,2019,0.5316533270396362,288
Karnataka,Kodagu,2020,0.5600609919079161,295
Karnataka,Kodagu,2021,0.5461669731120952,292
Karnataka,Kodagu,2022,0.5577743673002072,292
Karnataka,Kodagu,2023,0.5551105470938282,294
Karnataka,Kodagu,2024,0.5359978520877539,304
Kerala,Wayanad,2015,0.6252137486228709,86
Kerala,Wayanad,2016,0.5152951323380763,373
Kerala,Wayanad,2017,0.5493259391510962,311
Kerala,Wayanad,2018,0.518279019082851,423
Kerala,Wayanad,2019,0.5192345240215671,442
Kerala,Wayanad,2020,0.553849741847372,446
Kerala,Wayanad,2021,0.5159121614095623,439
Kerala,Wayanad,2022,0.5352703556191689,444
Kerala,Wayanad,2023,0.539196559892608,440
Kerala,Wayanad,2024,0.5161897824134937,450
Kerala,Kannur,2015,0.18518936953316611,42
Kerala,Kannur,2016,0.1680506225871613,249
Kerala,Kannur,2017,0.18674963593493613,203
Kerala,Kannur,2018,0.16750321756137004,277
Kerala,Kannur,2019,0.1655964384885078,294
Kerala,Kannur,2020,0.17431235475138532,298
Kerala,Kannur,2021,0.17131453167979616,292
Kerala,Kannur,2022,0.16952778427198806,297
Kerala,Kannur,2023,0.17398519994768552,296
Kerala,Kannur,2024,0.16689947519144627,303
Goa,North Goa,2015,0.16605451827625672,12
Goa,North Goa,2016,0.15045119150351702,146
Goa,North Goa,2017,0.15192010695066735,126
Goa,North Goa,2018,0.14679218016686588,284
Goa,North Goa,2019,0.14739734161151777,292
Goa,North Goa,2020,0.1427232646133918,293
Goa,North Goa,2021,0.15163004371552705,294
Goa,North Goa,2022,0.1620415299541404,292
Goa,North Goa,2023,0.1588418585529462,301
Goa,North Goa,2024,0.1482915739021223,301
Goa,South Goa,2015,0.2893456677993582,12
Goa,South Goa,2016,0.274706621580213,146
Goa,South Goa,2017,0.2684390498031512,126
Goa,South Goa,2018,0.2650402810681499,284
Goa,South Goa,2019,0.2640974237019007,294
Goa,South Goa,2020,0.2655359167063315,292
Goa,South Goa,2021,0.2649855006013233,292
Goa,South Goa,2022,0.27802451824521085,292
Goa,South Goa,2023,0.2739862011322364,304
Goa,South Goa,2024,0.26308358648109176,303
Maharashtra,Sindhudurg,2015,0.2889830828015331,12
Maharashtra,Sindhudurg,2016,0.23950461447298046,140
Maharashtra,Sindhudurg,2017,0.22794456949273767,128
Maharashtra,Sindhudurg,2018,0.21454619447065454,289
Maharashtra,Sindhudurg,2019,0.21091211051804454,298
Maharashtra,Sindhudurg,2020,0.2049197138129634,291
Maharashtra,Sindhudurg,2021,0.21645949168431572,293
Maharashtra,Sindhudurg,2022,0.227970635920658,300
Maharashtra,Sindhudurg,2023,0.22622037189479377,298
Maharashtra,Sindhudurg,2024,0.22163875906632455,308
